Date,Date_YMD,Daily Confirmed,Daily Deceased
30 January 2020,2020-01-30,1,0
31 January 2020,2020-01-31,0,0
1 February 2020,2020-02-01,0,0
2 February 2020,2020-02-02,1,0
3 February 2020,2020-02-03,1,0
4 February 2020,2020-02-04,0,0
5 February 2020,2020-02-05,0,0
6 February 2020,2020-02-06,0,0
7 February 2020,2020-02-07,0,0
8 February 2020,2020-02-08,0,0
9 February 2020,2020-02-09,0,0
10 February 2020,2020-02-10,0,0
11 February 2020,2020-02-11,0,0
12 February 2020,2020-02-12,0,0
13 February 2020,2020-02-13,0,0
14 February 2020,2020-02-14,0,0
15 February 2020,2020-02-15,0,0
16 February 2020,2020-02-16,0,0
17 February 2020,2020-02-17,0,0
18 February 2020,2020-02-18,0,0
19 February 2020,2020-02-19,0,0
20 February 2020,2020-02-20,0,0
21 February 2020,2020-02-21,0,0
22 February 2020,2020-02-22,0,0
23 February 2020,2020-02-23,0,0
24 February 2020,2020-02-24,0,0
25 February 2020,2020-02-25,0,0
26 February 2020,2020-02-26,0,0
27 February 2020,2020-02-27,0,0
28 February 2020,2020-02-28,0,0
29 February 2020,2020-02-29,0,0
1 March 2020,2020-03-01,0,0
2 March 2020,2020-03-02,2,0
3 March 2020,2020-03-03,1,0
4 March 2020,2020-03-04,22,0
5 March 2020,2020-03-05,2,0
6 March 2020,2020-03-06,1,0
7 March 2020,2020-03-07,3,0
8 March 2020,2020-03-08,5,0
9 March 2020,2020-03-09,9,0
10 March 2020,2020-03-10,15,0
11 March 2020,2020-03-11,8,0
12 March 2020,2020-03-12,10,1
13 March 2020,2020-03-13,10,0
14 March 2020,2020-03-14,11,1
15 March 2020,2020-03-15,10,0
16 March 2020,2020-03-16,14,0
17 March 2020,2020-03-17,20,1
18 March 2020,2020-03-18,25,0
19 March 2020,2020-03-19,27,1
20 March 2020,2020-03-20,58,0
21 March 2020,2020-03-21,78,0
22 March 2020,2020-03-22,69,3
23 March 2020,2020-03-23,94,2
24 March 2020,2020-03-24,74,1
25 March 2020,2020-03-25,86,1
26 March 2020,2020-03-26,73,5
27 March 2020,2020-03-27,153,3
28 March 2020,2020-03-28,136,5
29 March 2020,2020-03-29,120,3
30 March 2020,2020-03-30,187,14
31 March 2020,2020-03-31,309,6
1 April 2020,2020-04-01,424,6
2 April 2020,2020-04-02,486,16
3 April 2020,2020-04-03,560,14
4 April 2020,2020-04-04,579,13
5 April 2020,2020-04-05,609,22
6 April 2020,2020-04-06,484,16
7 April 2020,2020-04-07,573,27
8 April 2020,2020-04-08,565,20
9 April 2020,2020-04-09,813,46
10 April 2020,2020-04-10,871,22
11 April 2020,2020-04-11,854,41
12 April 2020,2020-04-12,758,42
13 April 2020,2020-04-13,1243,27
14 April 2020,2020-04-14,1031,37
15 April 2020,2020-04-15,886,27
16 April 2020,2020-04-16,1061,26
17 April 2020,2020-04-17,922,38
18 April 2020,2020-04-18,1371,35
19 April 2020,2020-04-19,1580,38
20 April 2020,2020-04-20,1239,33
21 April 2020,2020-04-21,1537,53
22 April 2020,2020-04-22,1292,36
23 April 2020,2020-04-23,1667,40
24 April 2020,2020-04-24,1408,59
25 April 2020,2020-04-25,1835,44
26 April 2020,2020-04-26,1607,56
27 April 2020,2020-04-27,1568,58
28 April 2020,2020-04-28,1902,69
29 April 2020,2020-04-29,1705,71
30 April 2020,2020-04-30,1801,75
1 May 2020,2020-05-01,2396,77
2 May 2020,2020-05-02,2564,92
3 May 2020,2020-05-03,2952,140
4 May 2020,2020-05-04,3656,103
5 May 2020,2020-05-05,2971,128
6 May 2020,2020-05-06,3602,91
7 May 2020,2020-05-07,3344,104
8 May 2020,2020-05-08,3339,97
9 May 2020,2020-05-09,3175,115
10 May 2020,2020-05-10,4311,112
11 May 2020,2020-05-11,3592,81
12 May 2020,2020-05-12,3562,120
13 May 2020,2020-05-13,3726,137
14 May 2020,2020-05-14,3991,97
15 May 2020,2020-05-15,3808,104
16 May 2020,2020-05-16,4794,120
17 May 2020,2020-05-17,5049,152
18 May 2020,2020-05-18,4628,131
19 May 2020,2020-05-19,6154,146
20 May 2020,2020-05-20,5720,134
21 May 2020,2020-05-21,6023,148
22 May 2020,2020-05-22,6536,142
23 May 2020,2020-05-23,6667,142
24 May 2020,2020-05-24,7111,156
25 May 2020,2020-05-25,6414,150
26 May 2020,2020-05-26,5907,173
27 May 2020,2020-05-27,7246,188
28 May 2020,2020-05-28,7254,176
29 May 2020,2020-05-29,8138,269
30 May 2020,2020-05-30,8364,205
31 May 2020,2020-05-31,8789,222
1 June 2020,2020-06-01,7723,201
2 June 2020,2020-06-02,8812,222
3 June 2020,2020-06-03,9689,259
4 June 2020,2020-06-04,9847,274
5 June 2020,2020-06-05,9472,286
6 June 2020,2020-06-06,10408,297
7 June 2020,2020-06-07,10882,261
8 June 2020,2020-06-08,8536,271
9 June 2020,2020-06-09,9981,272
10 June 2020,2020-06-10,11156,358
11 June 2020,2020-06-11,11135,394
12 June 2020,2020-06-12,11306,388
13 June 2020,2020-06-13,12039,309
14 June 2020,2020-06-14,11405,324
15 June 2020,2020-06-15,10032,396
16 June 2020,2020-06-16,11086,2004
17 June 2020,2020-06-17,13108,341
18 June 2020,2020-06-18,13829,343
19 June 2020,2020-06-19,14740,364
20 June 2020,2020-06-20,15918,308
21 June 2020,2020-06-21,15151,426
22 June 2020,2020-06-22,13560,312
23 June 2020,2020-06-23,15656,468
24 June 2020,2020-06-24,16868,424
25 June 2020,2020-06-25,18205,401
26 June 2020,2020-06-26,18255,381
27 June 2020,2020-06-27,20142,414
28 June 2020,2020-06-28,19610,384
29 June 2020,2020-06-29,18339,417
30 June 2020,2020-06-30,18256,506
1 July 2020,2020-07-01,19429,438
2 July 2020,2020-07-02,21947,378
3 July 2020,2020-07-03,22718,444
4 July 2020,2020-07-04,24018,611
5 July 2020,2020-07-05,23942,421
6 July 2020,2020-07-06,22500,473
7 July 2020,2020-07-07,23147,479
8 July 2020,2020-07-08,25561,492
9 July 2020,2020-07-09,25790,479
10 July 2020,2020-07-10,27762,520
11 July 2020,2020-07-11,27757,543
12 July 2020,2020-07-12,29106,500
13 July 2020,2020-07-13,28178,541
14 July 2020,2020-07-14,29917,587
15 July 2020,2020-07-15,32607,614
16 July 2020,2020-07-16,35468,680
17 July 2020,2020-07-17,34820,676
18 July 2020,2020-07-18,37411,543
19 July 2020,2020-07-19,40235,675
20 July 2020,2020-07-20,36806,596
21 July 2020,2020-07-21,39170,671
22 July 2020,2020-07-22,45601,1130
23 July 2020,2020-07-23,48443,755
24 July 2020,2020-07-24,48888,763
25 July 2020,2020-07-25,50072,703
26 July 2020,2020-07-26,48932,704
27 July 2020,2020-07-27,46484,642
