Department /Ministry,Fund allotted(in ₹crores)
MINISTRY OF AGRICULTURE,131531.19
DEPARTMENT OF ATOMIC ENERGY,18264.89
"MINISTRY OF AYURVEDA, YOGA",2970.3
MINISTRY OF CHEMICALS AND FERTILISER,80714.94
MINISTRY OF CIVIL AVIATION,3224.67
MINISTRY OF COAL,534.88
MINISTRY OF COMMERCE AND INDUSTRY,12768.25
MINISTRY OF COMMUNICATION,75265.22
MINISTRY OF CONSUMER AFFAIRS,256948.4
MINISTRY OF CORPORATE AFFAIRS,712.13
MINISTRY OF CULTURE,2687.99
MINISTRY OF DEFENCE,478195.62
MINISTRY OF DEVELOPMENT OF NORTH EASTERN REGION,2658
MINISTRY OF EARTH SCIENCES,1897.13
MINISTRY OF EDUCATION,93224.31
MINISTRY OF ELECTRONICS AND INFORMATION TECHNOLOGY,9720.66
"MINISTRY OF ENVIRONMENT, FOREST",2869.93
MINISTRY OF EXTERNAL AFFAIRS,18154.73
MINISTRY OF FINANCE,1386273.3
"MINISTRY OF FISHERIES, ANIMAL HUSBANDRY",4322.82
MINISTRY OF FOOD PROCESSING INDUSTRIES,1308.66
MINISTRY OF HEALTH AND FAMILY WELFARE,73931.77
MINISTRY OF HEAVY INDUSTRIES,1017.08
MINISTRY OF HOME AFFAIRS,166546.94
MINISTRY OF HOUSING AND URBAN AFFAIRS,54581
MINISTRY OF INFORMATION AND BROADCASTING,4071.23
MINISTRY OF JAL SHAKTI,69053.02
MINISTRY OF LABOUR AND EMPLOYMENT,13306.5
MINISTRY OF LAW AND JUSTICE,3229.94
"MINISTRY OF MICRO, SMALL AND MEDIUM ENTERPRISES",15699.65
MINISTRY OF MINES,1466.82
MINISTRY OF MINORITY AFFAIR,4810.77
MINISTRY OF NEW AND RENEWABLE ENERGY,5753
MINISTRY OF PANCHAYATI RAJ,913.43
MINISTRY OF PARLIAMENTARY AFFAIRS,65.07
"MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES",2097.24
MINISTRY OF PETROLEUM AND NATURAL GAS,15943.78
MINISTRY OF PLANNING,1062.77
"MINISTRY OF PORTS, SHIPPING",1702.35
MINISTRY OF POWER,15322
"THE PRESIDENT, PARLIAMENT, UNION PUBLIC SERVICE COMMISSION",1687.57
MINISTRY OF RAILWAYS,110054.64
MINISTRY OF ROAD TRANSPORT AND HIGHWAY,118101
MINISTRY OF RURAL DEVELOPMENT,133689.5
MINISTRY OF SCIENCE AND TECHNOLOGY,14794.03
MINISTRY OF SKILL DEVELOPMENT,2785.23
MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT,11689.39
DEPARMENT OF SPACE,13949.09
MINISTRY OF STATISTICS,1409.13
MINISTRY OF STEEL,39.25
MINISTRY OF TEXTILES,3631.64
MINISTRY OF TOURISM,2026.77
MINISTRY OF TRIBAL AFFAIRS,7524.87
MINISTRY OF WOMEN AND CHILD DEVELOPMENT,24435
MINISTRY OF YOUTH AFFAIRS AND SPORTS,2596.14
,
GRAND TOTAL,3483235.63
