Date,Views
01/06/2021,7831
02/06/2021,7798
03/06/2021,7401
04/06/2021,7054
05/06/2021,7973
06/06/2021,9114
07/06/2021,10387
08/06/2021,8895
09/06/2021,9048
10/06/2021,8431
11/06/2021,8342
12/06/2021,7720
13/06/2021,7622
14/06/2021,10023
15/06/2021,9558
16/06/2021,9820
17/06/2021,8541
18/06/2021,7803
19/06/2021,7092
20/06/2021,7386
21/06/2021,8298
22/06/2021,8044
23/06/2021,7828
24/06/2021,7455
25/06/2021,7559
26/06/2021,7349
27/06/2021,6953
28/06/2021,7996
29/06/2021,8328
30/06/2021,7669
01/07/2021,6463
02/07/2021,6762
03/07/2021,7648
04/07/2021,6870
05/07/2021,7687
06/07/2021,8336
07/07/2021,7609
08/07/2021,7457
09/07/2021,7868
10/07/2021,8458
11/07/2021,6380
12/07/2021,7762
13/07/2021,8538
14/07/2021,7898
15/07/2021,7968
16/07/2021,7729
17/07/2021,7288
18/07/2021,7290
19/07/2021,8024
20/07/2021,8076
21/07/2021,7494
22/07/2021,7962
23/07/2021,8016
24/07/2021,7993
25/07/2021,6810
26/07/2021,8240
27/07/2021,8921
28/07/2021,8198
29/07/2021,8095
30/07/2021,7880
31/07/2021,7072
01/08/2021,6235
02/08/2021,7810
03/08/2021,8546
04/08/2021,7941
05/08/2021,7308
06/08/2021,7440
07/08/2021,7509
08/08/2021,6605
09/08/2021,9002
10/08/2021,9104
11/08/2021,9131
12/08/2021,9085
13/08/2021,7485
14/08/2021,7599
15/08/2021,7153
16/08/2021,8478
17/08/2021,8145
18/08/2021,7805
19/08/2021,8512
20/08/2021,7076
21/08/2021,7305
22/08/2021,6792
23/08/2021,8209
24/08/2021,8596
25/08/2021,8240
26/08/2021,8633
27/08/2021,7607
28/08/2021,7006
29/08/2021,6680
30/08/2021,8134
31/08/2021,8384
01/09/2021,8326
02/09/2021,8248
03/09/2021,7418
04/09/2021,7039
05/09/2021,6796
06/09/2021,8809
07/09/2021,9841
08/09/2021,9605
09/09/2021,8531
10/09/2021,7059
11/09/2021,8172
12/09/2021,8077
13/09/2021,10018
14/09/2021,9050
15/09/2021,9450
16/09/2021,8977
17/09/2021,8689
18/09/2021,7678
19/09/2021,6830
20/09/2021,9723
21/09/2021,9869
22/09/2021,9523
23/09/2021,10481
24/09/2021,9193
25/09/2021,8204
26/09/2021,7776
27/09/2021,9857
28/09/2021,9977
29/09/2021,10028
30/09/2021,9785
01/10/2021,8916
02/10/2021,8310
03/10/2021,7893
04/10/2021,10718
05/10/2021,10399
06/10/2021,9128
07/10/2021,9271
08/10/2021,8749
09/10/2021,8055
10/10/2021,7251
11/10/2021,8860
12/10/2021,8634
13/10/2021,7863
14/10/2021,7481
15/10/2021,6743
16/10/2021,9054
17/10/2021,7480
18/10/2021,8749
19/10/2021,9506
20/10/2021,9416
21/10/2021,9354
22/10/2021,9120
23/10/2021,7949
24/10/2021,7363
25/10/2021,9926
26/10/2021,10130
27/10/2021,9114
28/10/2021,8795
29/10/2021,9006
30/10/2021,7586
31/10/2021,6761
01/11/2021,8276
02/11/2021,8193
03/11/2021,7223
04/11/2021,5772
05/11/2021,6378
06/11/2021,6367
07/11/2021,7923
08/11/2021,8972
09/11/2021,9517
10/11/2021,9612
11/11/2021,8933
12/11/2021,8449
13/11/2021,7505
14/11/2021,7401
15/11/2021,9413
16/11/2021,9435
17/11/2021,9412
18/11/2021,9057
19/11/2021,8336
20/11/2021,6617
21/11/2021,6916
22/11/2021,8723
23/11/2021,9296
24/11/2021,9460
25/11/2021,8971
26/11/2021,7131
27/11/2021,6516
28/11/2021,6838
29/11/2021,8605
30/11/2021,8345
01/12/2021,8363
02/12/2021,7698
03/12/2021,6956
04/12/2021,6389
05/12/2021,6260
06/12/2021,8335
07/12/2021,8858
08/12/2021,8971
09/12/2021,8599
10/12/2021,7815
11/12/2021,7203
12/12/2021,7627
13/12/2021,8685
14/12/2021,8747
15/12/2021,8592
16/12/2021,7680
17/12/2021,7832
18/12/2021,7952
19/12/2021,6907
20/12/2021,8840
