number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,neighborhood,rental_price
0,1,484,great,10,south_side,2271
1,1,674,good,1,downtown,2167
1,1,554,poor,19,westbrae,1883
0,1,529,great,3,south_side,2431
3,2,1219,great,3,south_side,5510
1,1,398,great,11,south_side,2272
3,2,1190,poor,58,westbrae,4123.812
1,1,730,good,0,downtown,2224
0,1,298,great,9,south_side,2104
2,1,878,great,8,south_side,3861
1,1,677,good,14,downtown,2041
0,1,509,poor,18,westbrae,1725
0,1,481,poor,49,westbrae,1307.496
3,2,808,good,1,downtown,4677
1,1,522,poor,30,westbrae,1678.74
1,1,533,good,10,downtown,1903
3,2,937,good,2,downtown,4736
0,1,258,good,10,downtown,1544
1,1,630,great,11,south_side,2543
0,1,397,great,11,south_side,2168
2,1,932,good,10,downtown,3413
3,2,1069,good,9,downtown,4810
0,1,267,poor,32,westbrae,1270.752
0,1,332,good,6,downtown,1697
1,1,712,poor,56,westbrae,1500.576
3,2,1231,poor,25,westbrae,4824.27
2,1,818,good,3,downtown,3359
2,1,805,good,8,downtown,3358
3,2,1158,poor,44,westbrae,4380.152
3,2,952,great,7,south_side,5207
2,1,771,good,8,downtown,3305
1,1,333,great,6,south_side,2284
1,1,500,poor,54,westbrae,1349.536
2,1,690,poor,16,westbrae,3095
0,1,524,great,13,south_side,2317
2,1,762,good,1,downtown,3323
2,1,872,good,14,downtown,3375
1,1,673,great,7,south_side,2604
2,1,792,good,5,downtown,3390
2,1,640,good,8,downtown,3153
0,1,454,poor,47,westbrae,1279.938
2,1,932,good,10,downtown,3447
0,1,340,good,5,downtown,1722
1,1,595,good,1,downtown,2064
2,1,558,good,3,downtown,3118
3,2,823,good,10,downtown,4545
3,2,1104,poor,16,westbrae,4750
1,1,543,poor,18,westbrae,1871
0,1,455,great,13,south_side,2205
0,1,113,good,13,downtown,1378
2,1,553,good,8,downtown,3073
3,2,1030,great,14,south_side,5260
3,2,1175,great,6,south_side,5446
1,1,644,great,12,south_side,2572
1,1,421,great,8,south_side,2333
