age_of_driver,car_age,region,number_of_claims
30,7,Urban,0
33,10,Rural,2
39,11,Suburban,1
18,12,Urban,0
21,8,Urban,0
45,2,Urban,1
21,3,Rural,1
25,12,Suburban,0
27,3,Urban,1
37,13,Urban,1
39,6,Urban,2
36,0,Suburban,0
22,10,Rural,1
41,3,Rural,0
24,6,Urban,0
42,11,Urban,0
42,3,Suburban,0
30,9,Urban,0
44,6,Rural,0
19,3,Suburban,0
24,2,Suburban,1
25,2,Urban,2
41,2,Rural,0
32,6,Suburban,0
42,4,Suburban,1
35,11,Urban,1
23,6,Rural,0
43,0,Rural,0
31,4,Suburban,0
26,13,Rural,1
27,9,Urban,0
38,2,Urban,1
37,1,Suburban,0
34,12,Suburban,0
37,6,Rural,1
23,1,Urban,0
48,7,Rural,0
33,12,Rural,0
33,5,Suburban,0
18,6,Urban,1
36,1,Urban,2
21,10,Rural,2
42,6,Urban,1
35,13,Urban,0
37,6,Rural,0
47,6,Suburban,0
37,6,Suburban,0
37,11,Suburban,0
32,2,Rural,1
25,5,Urban,1
18,14,Rural,3
19,2,Rural,1
27,2,Suburban,1
43,3,Urban,2
49,2,Suburban,3
18,12,Urban,1
49,13,Urban,1
28,9,Suburban,1
38,3,Suburban,1
41,8,Rural,0
21,5,Urban,1
48,4,Urban,2
29,5,Urban,0
36,11,Urban,4
41,1,Urban,0
46,11,Rural,0
20,14,Urban,0
18,12,Rural,1
18,12,Suburban,1
22,5,Rural,0
39,8,Rural,0
23,2,Rural,0
24,9,Suburban,1
26,13,Urban,1
38,14,Rural,2
35,12,Suburban,1
33,12,Rural,0
22,9,Rural,0
27,5,Suburban,0
28,6,Rural,2
44,4,Rural,0
49,0,Urban,0
42,8,Suburban,0
19,10,Rural,1
19,14,Suburban,2
25,5,Suburban,2
27,5,Urban,0
43,5,Urban,1
21,11,Urban,0
24,1,Rural,0
41,0,Rural,1
29,0,Rural,0
32,0,Rural,0
36,0,Rural,0
45,14,Rural,0
18,10,Suburban,0
32,12,Suburban,0
21,13,Urban,2
39,0,Rural,1
30,13,Suburban,1
43,10,Urban,0
28,7,Urban,0
38,6,Urban,1
29,3,Urban,2
22,5,Suburban,1
24,4,Suburban,2
22,3,Suburban,0
33,4,Urban,0
49,5,Urban,0
38,12,Rural,0
21,12,Rural,0
30,10,Urban,0
22,1,Suburban,1
38,3,Urban,0
26,12,Rural,0
32,6,Rural,2
33,7,Suburban,2
38,4,Urban,0
21,0,Rural,0
44,13,Suburban,1
41,0,Rural,0
33,7,Suburban,0
31,10,Rural,0
39,12,Rural,1
39,3,Urban,1
34,13,Suburban,1
35,3,Suburban,1
23,0,Rural,0
27,0,Urban,0
21,9,Rural,0
18,4,Rural,2
49,4,Rural,1
23,5,Suburban,1
48,8,Urban,0
18,14,Rural,2
35,8,Rural,0
36,0,Rural,1
22,1,Suburban,0
20,5,Rural,0
34,9,Suburban,2
47,9,Suburban,1
21,12,Suburban,1
20,14,Suburban,0
28,6,Suburban,0
31,14,Urban,0
34,1,Suburban,0
25,4,Suburban,1
39,0,Rural,0
27,4,Urban,1
49,7,Urban,0
18,14,Rural,1
28,7,Suburban,1
36,11,Urban,1
29,14,Suburban,1
44,7,Rural,1
49,13,Urban,1
41,6,Suburban,2
45,2,Urban,1
20,14,Urban,2
43,6,Suburban,0
20,0,Suburban,1
48,11,Urban,1
21,2,Rural,1
48,11,Urban,1
45,7,Rural,1
21,14,Urban,2
36,7,Suburban,1
32,14,Rural,0
21,10,Rural,1
38,2,Urban,1
35,6,Urban,1
36,1,Rural,0
45,3,Suburban,0
32,7,Rural,0
27,13,Rural,1
44,11,Suburban,1
19,0,Suburban,1
22,5,Urban,0
28,4,Urban,1
40,5,Urban,0
29,13,Suburban,0
26,5,Rural,1
29,3,Suburban,0
20,11,Urban,1
37,8,Rural,2
34,0,Urban,2
18,1,Rural,0
40,5,Suburban,0
18,12,Urban,0
24,4,Suburban,1
37,1,Suburban,0
32,13,Suburban,2
28,13,Rural,1
37,5,Suburban,1
42,0,Suburban,0
46,6,Rural,1
26,8,Suburban,0
31,8,Suburban,0
48,6,Suburban,0
42,14,Rural,1
47,3,Rural,1
20,4,Urban,2
21,4,Suburban,1
48,10,Rural,1
20,10,Suburban,4
29,11,Rural,0
31,3,Rural,0
34,6,Rural,1
26,12,Urban,0
26,5,Suburban,0
37,10,Rural,1
49,13,Suburban,1
26,9,Rural,0
44,8,Suburban,0
20,12,Suburban,1
42,1,Rural,1
38,3,Suburban,0
21,8,Urban,1
30,11,Urban,0
47,10,Suburban,0
32,14,Suburban,0
18,13,Rural,1
22,1,Rural,0
21,14,Suburban,2
31,14,Suburban,1
29,5,Suburban,0
46,14,Suburban,1
40,8,Urban,1
31,0,Suburban,0
43,3,Rural,0
31,7,Urban,0
29,13,Suburban,0
42,12,Rural,0
34,1,Urban,0
42,7,Suburban,1
47,8,Suburban,2
39,0,Suburban,0
32,7,Suburban,1
43,5,Urban,1
34,10,Rural,0
46,9,Suburban,0
43,9,Urban,0
40,6,Urban,1
39,8,Rural,0
47,7,Urban,1
37,5,Urban,0
19,9,Rural,1
26,1,Urban,0
18,0,Urban,1
22,0,Rural,0
45,11,Urban,0
45,14,Rural,0
43,5,Suburban,0
24,6,Suburban,2
39,3,Suburban,1
49,6,Suburban,1
31,13,Urban,2
25,11,Suburban,0
42,11,Rural,0
42,1,Rural,1
33,7,Rural,2
27,7,Rural,1
36,10,Suburban,0
26,0,Rural,1
40,7,Suburban,0
33,6,Rural,0
29,0,Rural,0
24,4,Suburban,0
33,2,Suburban,0
47,7,Urban,2
43,5,Urban,2
19,14,Urban,1
49,2,Rural,0
40,8,Rural,1
30,10,Rural,1
42,5,Urban,1
47,6,Urban,0
42,6,Urban,1
21,4,Rural,1
36,1,Suburban,0
33,5,Urban,1
21,11,Suburban,2
