text,language
Ship shape and Bristol fashion,English
Know the ropes,English
Graveyard shift,English
Milk of human kindness,English
Touch with a barge-pole - Wouldn't,English
Sy kan altyd my battery natpiepie.,Afrikaans
When the shit hits the fan,English
,Afrikaans
Egg on,English
Drag race,English
As queer as a nine bob note,English
,Afrikaans
Run the gauntlet,English
Raining cats and dogs,English
No laughing matter,English
Run of the mill,English
Piet Pompies van Soetmelksvlei is nie van hier nie.,Afrikaans
,Afrikaans
A drop in the ocean,English
In a trice,English
Auld lang syne,English
Dock your pay,English
Fair and square,English
As snug as a bug in a rug,English
Christmas box - A,English
Pip - Get the/got the /have the,English
Life's not all beer and skittles,English
Twenty three skidoo,English
Die lewe is 10 % wat met ons gebeur en 90 % ons reaksie daarop.,Afrikaans
Fancy free,English
Neither here nor there,English
"Saam met ons, rondom ons, in ons en by ons is die onsienlike. Hy sal altyd daar wees.",Afrikaans
As fit as a butcher's dog,English
The customer is always right,English
Dog is a man's best friend,English
"Vroeg uit die bed, maak die beursie vet!",Afrikaans
"Die man met min woorde, se rekenaar is so kompak, dat daar nie plek is vir kaf nie.",Afrikaans
Knock into a cocked hat,English
Hulle is dik soos diewe.,Afrikaans
Grass up,English
Raise Cain,English
"“Pluk so ‘n spierwit dingetjie uit haar handsak en paf-paf op haar neus.” – CM van den Heever, Langs die Grootpad",Afrikaans
Your name is mud,English
Veel geskreeu en weinig wol.,Afrikaans
"Wyse woorde val dikwels op bar grond, maar ‘n vriendelike woord word nooit misken nie.",Afrikaans
Beauty is only skin deep,English
Strait-laced,English
As easy as pie,English
It is meat and drink to me,English
Using a sledgehammer to crack a nut,English
Om jou op die haaivlakte te bevind.,Afrikaans
,Nederlands
Die gefluisterde woord trek verder as die harde geskreeu.,Afrikaans
Kick the bucket,English
Kop bo water hou.,Afrikaans
Many a true word is spoken in jest,English
Hy het ‘n hallelujagesig en jazzvoete.,Afrikaans
Pound of flesh,English
(By the) skin of your teeth,English
Flesh and blood,English
Sy het ‘n regte naweeklyfie.,Afrikaans
Brownie points,English
Hy het miere.,Afrikaans
"POSH - Port out, starboard home",English
"Je moet geen oude schoenen weggooien, voordat je nieuwe hebt.",Nederlands
Kerm soos ‘n kat oor ‘n derm.,Afrikaans
Met broek en baadjie .,Afrikaans
If I had my druthers,English
Rub of the green,English
Die henne wat die meeste kekkel lê nie die meeste eiers nie.,Afrikaans
,English
Raspberry tart,English
Keep up with the Joneses,English
"Persoonlikheid het die mag om deure oop te maak, maar karakter is nodig om hul oop te hou.",Afrikaans
"While you live, tell truth and shame the Devil!",English
Ear-mark,English
Sticks and stones may break my bones,English
Doff your hat,English
Different kettle of fish,English
"Hê jou vyande lief, want jy het hulle gemaak.",Afrikaans
As pleased as Punch,English
Hangskouers soos ‘n kasteroliebottel.,Afrikaans
Run a mile,English
Put the wood in the hole,English
“Sy praat so baie sy sal die agterbeen van ‘n donkie afpraat.”,Afrikaans
God is dead,English
To boot,English
Tide over,English
Tyd is geld.,Afrikaans
Veg out,English
Exceedingly well read,English
Win one for the Gipper,English
Hand over fist,English
"Wie zaait, zal oogsten.",Nederlands
Glass ceiling,English
Straight from the horse's mouth,English
,English
Sound out,English
Stitch in time saves nine - A,English
Put up your dukes,English
Hy is ‘n regte cheapskate.,Afrikaans
Bodice ripper,English
All of a sudden,English
Paper tiger,English
Blot on the landscape,English
Got my mojo working,English
Karakter is soos ‘n boom en reputasie sy skaduwee. Die skaduwee is wat ons daarvan dink; die boom is die werklikheid.,Afrikaans
,Afrikaans
The hair of the dog that bit you,English
Hoi polloi,English
Hy is nie so groen dat ‘n koei hom sal vreet nie.,Afrikaans
Don't have a clue,English
Curate's egg,English
Ashes to ashes dust to dust,English
To big for your boots,English
"Om te wees wat ons is en te word waartoe ons in staat is, is die enigste doelwit in die lewe.",Afrikaans
,English
A plague on both your houses,English
Deus ex machina,English
"Wie het eerst komt, het eerst maalt.",Nederlands
,Afrikaans
Backroom boy,English
Elbow-grease,English
"Die by wat die lekker heuning maak, steek seer.",Afrikaans
Dog's bollocks,English
Night owl,English
’n Warm hart steek die ander aan die brand.,Afrikaans
Barking mad,English
Is the Pope Catholic?,English
"Goody, goody gumdrops",English
Course of true love never did run smooth - The,English
The nth degree,English
Lamb to the slaughter,English
Chain is only as strong as its weakest link - A,English
(The) penny drops,English
Soebat en bangoog kyk help niks.,Afrikaans
Writing is on the wall - The,English
Pull up stakes,English
Dog's dinner,English
The mutt's nuts,English
Shot in the arm,English
See red,English
So besig soos 'n miernes wees.,Afrikaans
Gedane zaken nemen geen keer.,Nederlands
"Die beste manier om ‘n goeie indruk op iemand te maak, is om hom die geleentheid te gee om ‘n goeie indruk op jou te maak.",Afrikaans
"Hanged, drawn and quartered",English
Met ‘n aalwynpil in jou kies loop.,Afrikaans
Dead ringer,English
Jy kan van ‘n padda nie vere pluk nie.,Afrikaans
Arms akimbo,English
In a cleft stick,English
From sea to shining sea,English
Nou is jy regte Slim Jan vandat jou twak nie meer nat is nie!,Afrikaans
Smoke and mirrors,English
Wolf in sheep's clothing,English
Rumpy-pumpy,English
A dish fit for the gods,English
So maklik soos brood en botter.,Afrikaans
I'll be there with bells on,English
A little bird told me,English
Japie my skapie jy hou my hart se punt in die holte van jou skaapwagters-hande.,Afrikaans
Turn of phrase,English
Pipe dream - A,English
The die has been cast,English
Don't go there,English
Boogie-woogie,English
In like Flynn,English
By gum,English
Let your hair down,English
The heebie-jeebies,English
Aan alles komt een eind.,Nederlands
Word association football,English
Wraak maak jou gelyk met jou vyand. Vergifnis plaas jou hoër as hy.,Afrikaans
Charmed life,English
Vir dertig stukke silwer.,Afrikaans
In trouble,English
In the red,English
Geen spiesen maacht so diepe wonden als achterklap en boose monden.,Afrikaans
Bunch of fives - A,English
Broad in the beam,English
"Sielkundiges se manier van groet: “Dit gaan goed met JOU, hoe gaan dit met my?”",Afrikaans
Knuckle down,English
Birds and the bees - The,English
Get underway,English
Riding shotgun,English
Like the clappers,English
Get one's dander up,English
,Afrikaans
A nest of vipers,English
Feather in one's cap - A,English
Take potluck,English
Put your best foot forward,English
Nuuskierige agies hoort in die wolwehok!,Afrikaans
What you see is what you get - wysiwyg,English
I'll go to the foot of our stairs,English
Ring-fencing,English
Wouldn't touch with a barge-pole,English
On cloud nine,English
Skid row,English
Carbon-copy,English
"Kind, onthou net één ding: Jy kon nie jou ouers en voor-ouers kies nie.",Afrikaans
Save one's bacon,English
Knight in shining armour,English
The collywobbles,English
Best laid schemes of mice and men - The,English
Fellow traveller,English
,Afrikaans
"Frailty, thy name is woman",English
Toe Jors sy eks sien by die kroegtoonbank spring hy knipmes-om.,Afrikaans
,Afrikaans
"Wat jou lot ookal in die lewe is, bou iets daarop.",Afrikaans
There's no such thing as a free lunch (Tanstaafl),English
Fashion victim,English
A place for everything and everything in its place,English
Hy lag al die pad bank toe.,Afrikaans
My husband and I,English
Dis nie ‘n pyp dagga werd nie.,Afrikaans
"“Dis jy wat met haar getjoing-tjoing het en nie ek nie.” – Mikro, Gonnakolk",Afrikaans
Loose lips sink ships,English
Know which way the wind blows,English
Chinese whispers,English
Gierigheid is die wortel van alle kwaad.,Afrikaans
Cat out of the bag - Let the,English
Selfs God se engele kan ons nie red as ons gedurig ons eie kop wil volg nie.,Afrikaans
So tuis wees soos 'n vis in die water.,Afrikaans
The proof of the pudding is in the eating,English
Die blerrie tweegesig blaf met die honde en huil met die wolwe.,Afrikaans
A diamond is forever,English
"Fie, foh, fum, I smell the blood of an Englishman",English
Aide-mémoire,English
Better half,English
Hell or high water,English
Ministering angel shall my sister be - A,English
As fine as frog's hair,English
"Age cannot wither her, nor custom stale her infinite variety",English
Three strikes and you are out,English
,Nederlands
A man after my own heart,English
Baby boomer,English
Never-never land,English
La dolce vita,English
Die bottel goed aanspreek.,Afrikaans
Thorn in the flesh,English
Die pad is snuif tussen Soebatsfontein en Koingnaas.,Afrikaans
Open season,English
Sy gewete is toegeskroei.,Afrikaans
All the tea in China - Not for,English
Full tilt,English
Die goudpot aan die einde van die reënboog.,Afrikaans
Twelve good men and true,English
Bacon - Bring home the,English
Children should be seen and not heard,English
Katy bar the door,English
Walk the walk,English
‘n Vergenoegde mens kan die natuurskoon langs ‘n pad geniet.,Afrikaans
