"Language
","Intended use
","Imperative
","Object-oriented
","Functional
","Procedural
","Generic
","Reflective
","Event-driven
","Other paradigm(s)
","Standardized?
"
"1C:Enterprise scripting language
","Application, RAD,  business, general, web, mobile
","Yes
","
","Yes
","Yes
","Yes
","Yes
","Yes
","Object-based,
Prototype-based programming

","No
"
"ActionScript 3.0
","Application, client-side, web
","Yes
","Yes
","Yes
","
","
","
","Yes
","
","1996, ECMA
"
"Ada
","Application, embedded, realtime, system
","Yes
","Yes[2]
","
","Yes[3]
","Yes[4]
","
","
","concurrent,[5] distributed,[6]
","1983, 2005, 2012, ANSI, ISO, GOST 27831-88[7]
"
"Aldor
","Highly domain-specific, symbolic computing
","Yes
","Yes
","Yes
","
","
","
","
","
","No
"
"ALGOL 58
","Application
","Yes
","
","
","
","
","
","
","
","No
"
"ALGOL 60
","Application
","Yes
","
","
","Yes
","Yes
","
","
","
","1960, IFIP WG 2.1, ISO[8]
"
"ALGOL 68
","Application
","Yes
","
","Yes
","Yes
","Yes
","
","
","concurrent
","1968, IFIP WG 2.1, GOST 27974-88,[9]
"
"Ateji PX
","Parallel application
","
","Yes
","
","
","
","
","
","pi calculus
","No
"
"APL
","Application, data processing
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","array-oriented, tacit
","1989, ISO
"
"Assembly language
","General
","Yes
","
","
","
","
","
","
","any, syntax is usually highly specific, related to the target processor
","IEEE 694-1985[10]
"
"AutoHotkey
","GUI automation (macros), highly domain-specific
","Yes
","Yes[11]
","
","Yes
","
","
","Yes
","
","No
"
"AutoIt
","GUI automation (macros), highly domain-specific
","Yes
","
","
","Yes
","
","
","Yes
","
","No
"
"Ballerina
","Integration, agile, server-side, general
","Yes
","Yes
","Yes
","Yes
","
","
","Yes
","concurrent, transactional, statically and strongly typed programming, diagrammatic / visual programming
","2018 De facto standard via Ballerina Language Specification[12]
"
"Bash
","Shell, scripting
","Yes
","
","
","Yes
","
","
","
","
","No, but optionally POSIX.2 [13]
"
"BASIC
","Application, education
","Yes
","
","
","Yes
","
","
","
","
","1983, ANSI, ISO, ECMA
"
"BeanShell
","Application, scripting
","Yes
","Yes
","Yes
","
","
","Yes
","
","
","In progress, JCP[14]
"
"BLISS
","System
","
","
","
","Yes
","
","
","
","
","No
"
"BlitzMax
","Application, game
","Yes
","Yes
","
","Yes
","
","Yes
","
","
","No
"
"Boo
","Application, game scripting
","
","Yes
","
","
","
","
","
","
","No
"
"Bro
","domain-specific, application
","Yes
","
","
","
","
","
","Yes
","
","No
"
"C
","Application, system,[15] general purpose, low-level operations
","Yes
","
","
","Yes
","
","
","
","
","1989, ANSI C89, ISO C90, ISO C99, ISO C11, ISO C18[16]
"
"C++
","Application, system
","Yes
","Yes
","Yes
","Yes
","Yes
","
","
","
","1998. ISO/IEC 2003, ISO/IEC 2011,ISO/IEC 2014,ISO/IEC 2017[17]
"
"C#
","Application, RAD, business, client-side, general, server-side, web
","Yes
","Yes
","Yes[18]
","Yes
","Yes
","Yes
","Yes
","structured, concurrent
","2000, ECMA, ISO[19]
"
"Clarion
","General, business, web
","Yes
","Yes
","Yes[20]
","
","
","
","
","
","Un­known
"
"Clean
","General
","
","
","Yes
","
","Yes
","
","
","
","No
"
"Clojure
","General
","
","
","Yes
","
","
","
","
","concurrent
","No
"
"CLU
","General
","Yes
","Yes
","
","Yes
","Yes
","
","
","
","No
"
"COBOL
","Application, business
","Yes
","Yes
","
","Yes
","
","
","
","
","ANSI X3.23 1968, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014
"
"Cobra
","Application, business, general, web
","Yes
","Yes
","Yes
","
","Yes
","Yes
","
","
","No
"
"ColdFusion (CFML)
","Web
","
","Yes
","
","Yes
","
","
","
","
","No
"
"Common Lisp
","General
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","extensible syntax, Array-oriented, syntactic macros, multiple dispatch, concurrent
","1994, ANSI
"
"COMAL 80
","Education
","Yes
","
","
","Yes
","
","
","
","
","No
"
"Crystal
","General purpose
","Yes
","Yes[21]
","Yes
","Yes
","
","
","
","alpha stage[22]
","No
"
"Curry
","Application
","
","
","Yes
","
","Yes
","
","
","lazy evaluation, non-determinism
","De facto standard via Curry Language Report
"
"Cython
","Application, general, numerical computing
","Yes
","Yes
","Yes
","
","
","Yes
","
","aspect-oriented
","No
"
"D
","Application, system
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","generative, concurrent
","No
"
"Dart
","Application, web, server-side, mobile, IoT
","Yes
","Yes
","Yes
","Yes
","Yes
","
","Yes
","structured
","Ecma-408 standard
"
"Dylan
","Application
","
","Yes
","Yes
","
","
","
","
","
","No
"
"Eiffel
","General, application, business, client-side, server-side, web (EWF)
","Yes
","Yes
","Yes[23][24]
","
","Yes
","Yes Erl-G
","Yes Agents
","distributed SCOOP, Void-safe
","2005, ECMA, ISO[25]
"
"Elixir
","Application, distributed
","
","
","Yes
","
","
","Yes
","Yes
","concurrent, distributed
","No
"
"Erlang
","Application, distributed
","
","
","Yes
","
","
","Yes
","Yes
","concurrent, distributed
","No
"
"Euphoria
","Application
","
","
","
","Yes
","
","Yes
","
","
","No
"
"Factor
","General
","Yes
","
","can be viewed as
","
","Yes
","Yes
","
","stack-oriented
","No
"
"FP
","
","
","
","Yes
","
","
","
","
","
","No
"
"F#
","Application
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","No
"
"Forth
","General
","Yes
","
","can be viewed as
","
","
","
","
","stack-oriented
","1994, ANSI
"
"Fortran
","Application, numerical computing
","Yes
","Yes
","Yes
","Yes
","Yes
","
","
","array-based, vectorized, concurrent, native distributed/shared-memory parallelism
","1966, ANSI 66, ANSI 77, MIL-STD-1753, ISO 90, ISO 95, ISO 2003, ISO/IEC 1539-1:2010 (2008), ISO/IEC JTC1/SC22/WG5 N2145 (2018)
"
"FreeBASIC
","Application, numerical computing
","Yes
","Yes
","
","Yes
","Yes
","
","
","
","No
"
"Gambas
","Application
","Yes
","Yes
","
","
","
","
","Yes
","
","No
"
"Game Maker Language
","Application, games
","Yes
","Yes
","
","
","
","
","Yes
","
","No
"
"GLBasic
","Application, games
","Yes
","Yes
","
","Yes
","
","
","
","simple object-oriented
","No
"
"Go
","Application, web, server-side
","Yes
","[26]
","
","Yes
","
","Yes
","Yes
","concurrent
","De facto standard via Go Language Specification
"
"Gosu
","Application, general, scripting, web
","Yes
","Yes
","
","
","Yes
","Yes
","
","
","No
"
"GraphTalk
","Application
","
","Yes
","
","
","
","
","
","logic
","No
"
"Groovy
","Application, general, scripting, web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","meta-programming
","In progress, JCP[27]
"
"Harbour
","Application, business, data processing, general, web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","declarative
","No
"
"Haskell
","Application
","
","
","Yes
","
","Yes
","
","
","lazy evaluation
","2010, Haskell 2010[28]
"
"Haxe
","Application, general, web
","Yes
","Yes
","Yes
","
","Yes
","Yes
","
","
","No
"
"HyperNext
","Application, education
","
","
","
","Yes
","
","
","Yes
","weakly typed
","No
"
"HyperTalk
","Application, RAD, general
","
","Yes
","
","
","
","
","Yes
","weakly typed
","Un­known
"
"Io
","Application, host-driven scripting
","Yes
","Yes
","
","
","
","
","
","
","No
"
"IPL
","General
","
","
","Yes
","
","
","
","
","
","Un­known
"
"ISLISP
","General
","Yes
","Yes
","Yes
","
","Yes
","
","
","
","1997, 2007, ISO
"
"J
","Data processing
","
","
","
","
","
","
","
","array-oriented, function-level, tacit
","No
"
"JADE
","Application, distributed
","Yes
","Yes
","
","
","
","
","
","
","No
"
"Java
","Application, business, client-side, general, mobile development, server-side, web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","concurrent
","De facto standard via Java Language Specification
"
"JavaScript
","Client-side, server-side, web
","Yes
","Yes
","Yes
","Yes
","
","Yes
","Yes
","prototype-based
","1997, ECMA
"
"Joy
","Research
","
","
","Yes
","
","
","
","
","stack-oriented
","No
"
"Julia
","General, technical computing
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","multiple dispatch, meta, scalar and array-oriented, parallel, concurrent, distributed (""cloud"")
","No
"
"K
","Data processing, business
","
","
","
","
","
","
","
","array-oriented, tacit
","Un­known
"
"Kotlin
","Application, mobile development, server-side, client-side, web
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes[29]
","Yes
","
","No
"
"Ksh
","Shell, scripting
","Yes
","Yes
","
","Yes
","
","
","
","several variants, custom programmable, dynamic loadable modules
","1992, POSIX.2 [30]
"
"LabVIEW (G)
","Application, industrial instrumentation-automation
","Yes
","Yes
","Yes
","
","
","
","Yes
","dataflow, visual
","No
"
"Lisp
","General
","
","
","Yes
","
","
","
","
","
","Un­known
"
