period_start,period_end,followers_gained,followers_lost,followers_net,followers_total,subscribers_gained,subscribers_lost,subscribers_net,subscribers_total,views
5/1/2020,5/31/2020,1,0,1,1,0,0,0,0,128
6/1/2020,6/30/2020,8,0,8,9,0,0,0,0,16130
7/1/2020,7/31/2020,103,0,103,112,0,0,0,0,14616
8/1/2020,8/31/2020,46,0,46,158,0,0,0,0,4053
9/1/2020,9/30/2020,35,1,34,192,0,0,0,0,5153
10/1/2020,10/31/2020,30,0,30,222,0,0,0,0,16029
11/1/2020,11/30/2020,311,1,310,532,3,0,3,3,59976
12/1/2020,12/31/2020,217,0,217,749,10,1,9,12,76322
1/1/2021,1/31/2021,826,1,825,1574,14,1,13,25,108962
2/1/2021,2/28/2021,394,1,393,1967,7,0,7,32,100650
3/1/2021,3/31/2021,390,2,388,2355,7,2,5,37,102987
4/1/2021,4/30/2021,454,2,452,2807,8,0,8,45,134765
5/1/2021,5/31/2021,462,7,455,3262,6,0,6,51,167608
6/1/2021,6/30/2021,595,3,592,3854,5,0,5,56,154235
7/1/2021,7/31/2021,541,5,536,4390,20,6,14,70,144167
8/1/2021,8/31/2021,57,0,57,4447,6,2,4,74,
