Region,Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Region,longitude,latitude
Andhra Pradesh, 31-01-2020, M,5.48,16635535,41.02,South,15.9129,79.74
Andhra Pradesh, 29-02-2020, M,5.83,16545652,40.9,South,15.9129,79.74
Andhra Pradesh, 31-03-2020, M,5.79,15881197,39.18,South,15.9129,79.74
Andhra Pradesh, 30-04-2020, M,20.51,11336911,33.1,South,15.9129,79.74
Andhra Pradesh, 31-05-2020, M,17.43,12988845,36.46,South,15.9129,79.74
Andhra Pradesh, 30-06-2020, M,3.31,19805400,47.41,South,15.9129,79.74
Andhra Pradesh, 31-07-2020, M,8.34,15431615,38.91,South,15.9129,79.74
Andhra Pradesh, 31-08-2020, M,6.96,15251776,37.83,South,15.9129,79.74
Andhra Pradesh, 30-09-2020, M,6.4,15220312,37.47,South,15.9129,79.74
Andhra Pradesh, 31-10-2020, M,6.59,15157557,37.34,South,15.9129,79.74
Assam, 31-01-2020, M,4.66,13051904,52.98,Northeast,26.2006,92.9376
Assam, 29-02-2020, M,4.41,10088268,40.77,Northeast,26.2006,92.9376
Assam, 31-03-2020, M,4.77,11542888,46.73,Northeast,26.2006,92.9376
Assam, 30-04-2020, M,11.06,6830817,29.55,Northeast,26.2006,92.9376
Assam, 31-05-2020, M,9.55,11367897,48.26,Northeast,26.2006,92.9376
Assam, 30-06-2020, M,0.6,9095944,35.07,Northeast,26.2006,92.9376
Assam, 31-07-2020, M,3.77,10286757,40.88,Northeast,26.2006,92.9376
Assam, 31-08-2020, M,5.53,9781310,39.52,Northeast,26.2006,92.9376
Assam, 30-09-2020, M,1.19,14107641,54.38,Northeast,26.2006,92.9376
Assam, 31-10-2020, M,3.02,11949329,46.84,Northeast,26.2006,92.9376
Bihar, 31-01-2020, M,10.61,26397671,37.72,East,25.0961,85.3131
Bihar, 29-02-2020, M,10.29,26281655,37.35,East,25.0961,85.3131
Bihar, 31-03-2020, M,15.43,25717519,38.69,East,25.0961,85.3131
Bihar, 30-04-2020, M,46.64,16046236,38.17,East,25.0961,85.3131
Bihar, 31-05-2020, M,45.96,16280203,38.16,East,25.0961,85.3131
Bihar, 30-06-2020, M,17.82,23963933,36.86,East,25.0961,85.3131
Bihar, 31-07-2020, M,12.79,24989370,36.14,East,25.0961,85.3131
Bihar, 31-08-2020, M,13.44,23795534,34.59,East,25.0961,85.3131
Bihar, 30-09-2020, M,11.91,26902907,38.35,East,25.0961,85.3131
Bihar, 31-10-2020, M,9.82,25693252,35.7,East,25.0961,85.3131
Chhattisgarh, 31-01-2020, M,9.65,8552172,43.08,West,21.2787,81.8661
Chhattisgarh, 29-02-2020, M,8.38,9195114,45.58,West,21.2787,81.8661
Chhattisgarh, 31-03-2020, M,7.54,9302317,45.59,West,21.2787,81.8661
Chhattisgarh, 30-04-2020, M,3.41,7600448,35.58,West,21.2787,81.8661
Chhattisgarh, 31-05-2020, M,10.5,6991217,35.23,West,21.2787,81.8661
Chhattisgarh, 30-06-2020, M,14.23,7332807,38.48,West,21.2787,81.8661
Chhattisgarh, 31-07-2020, M,10.27,8620294,43.14,West,21.2787,81.8661
Chhattisgarh, 31-08-2020, M,5.63,9050422,42.97,West,21.2787,81.8661
Chhattisgarh, 30-09-2020, M,1.96,9021854,41.14,West,21.2787,81.8661
Chhattisgarh, 31-10-2020, M,6.62,8546847,40.82,West,21.2787,81.8661
Delhi, 31-01-2020, M,22.23,5805284,47.79,North,28.7041,77.1025
Delhi, 29-02-2020, M,14.84,5856307,43.92,North,28.7041,77.1025
Delhi, 31-03-2020, M,17.04,5553805,42.65,North,28.7041,77.1025
Delhi, 30-04-2020, M,16.68,3119274,23.8,North,28.7041,77.1025
Delhi, 31-05-2020, M,42.27,2632404,28.91,North,28.7041,77.1025
Delhi, 30-06-2020, M,18.19,4418914,34.17,North,28.7041,77.1025
Delhi, 31-07-2020, M,20.3,4291053,33.97,North,28.7041,77.1025
Delhi, 31-08-2020, M,13.79,4850107,35.41,North,28.7041,77.1025
Delhi, 30-09-2020, M,12.53,4958373,35.59,North,28.7041,77.1025
Delhi, 31-10-2020, M,6.27,4842698,32.36,North,28.7041,77.1025
Goa, 31-01-2020, M,8.89,416750,35.73,West,15.2993,74.124
Goa, 29-02-2020, M,2.81,478068,38.38,West,15.2993,74.124
Goa, 31-03-2020, M,5.25,411761,33.88,West,15.2993,74.124
Goa, 30-04-2020, M,13.31,500614,44.97,West,15.2993,74.124
Goa, 31-05-2020, M,21.25,378244,37.36,West,15.2993,74.124
Goa, 30-06-2020, M,9.96,489111,42.21,West,15.2993,74.124
Goa, 31-07-2020, M,17.07,458876,42.94,West,15.2993,74.124
